X_Acc,Y_Acc,Z_Acc,Activity,Semantic_Interpretation
-0.08,3.49,1.3075534,Downstairs,**General description:** Downstairs involves controlled descent with eccentric muscle actions to absorb impact and regulate speed. **Accelerometer patterns:** periodic impacts with sharper deceleration peaks at foot placement; vertical oscillations with slightly higher impact signatures than ascent; AP axis exhibits braking components. **Gyroscope patterns:** pitch decreases as the body lowers each step; subtle roll from lateral stabilization; occasional yaw adjustments at landings. **Body parts involved:** quadriceps and calves eccentrically control descent; hip stabilizers and core maintain balance; ankle strategy mitigates impact.
10.27,1.73,2.7921712,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-10.27,17.12,-13.783792,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-5.9,-9.23,-13.1708765,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-3.06,-0.53,-8.158588,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-19.15,8.43,-15.43,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
0,0,0,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
11.96,3.06,1.920469,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
19.23,19.57,2.6423476,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-9.08,15.66,3.636633,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-3.98,11.45,0.313268,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
9.66,-3.45,0.10896278,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
3.49,-5.37,-6.0882955,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
0.38,-0.95,0.040861044,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-2.87,8.35,1.4573772,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-5.75,4.33,3.255263,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-15.7,16.63,1.4982382,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-12.3,-0.89,1.31,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
18.89,19.08,1.7570249,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-6.4,18.12,-7.46,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
5.86,-1.99,1.7570249,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-2.56,2.91,1.2258313,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
1.99,16.25,10.079058,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
7.63,1.46,4.6,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
11.65,3.11,3.1054392,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
1.31,12.15,4.862464,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
3.64,18.7,-2.7513103,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-15.85,-5.01,5.94,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
7.5,12.22,5.7477865,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-2.96,4.25,-6.701211,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-0.27,-1.76,-2.3018389,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-2.4516625,-4.5219555,-1.3075534,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-2.1111538,1.0351465,2.070293,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
4.8216033,10.760075,-1.6889231,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
9.77,-2.96,-1.95,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-2.83,1.42,-3.3642259,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-0.99,4.82,-4.140586,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
2.79,-4.29,-11.876944,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-2.83,-1.92,-3.98,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
7.89,12.18,-1.7570249,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-19.61,19.57,-10.882658,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-10.38,-0.38,0.95342433,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-10.11,-5.28,-3.76,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-6.05,6.63,6.5513873,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
0.9942854,14.015338,-3.405087,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-17.97,14.06,-0.08172209,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
-3.11,-17.58,5.243834,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
4.06,15.36,3.5957718,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
13.44,10.46,2.3699405,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
12.03,3.99,3.9090397,Jogging,"**General description:** Jogging is a faster locomotion with a flight phase, higher impact forces, and elevated cadence compared to walking. Common in exercise or brisk travel. **Accelerometer patterns:** strong, high-frequency periodic impacts at foot strike; larger vertical amplitude; clearer stanceâ€“flight oscillations; peaks often sharper and more frequent than walking. **Gyroscope patterns:** pronounced pitch oscillations at each stride, moderate roll from trunk stabilization, and occasional yaw drift from heading changes. **Body parts involved:** hip flexors/extensors, knee extensors/flexors, ankle plantar/dorsiflexors; core musculature stabilizes the trunk; coordinated arm swing."
